age,earnings,industry,home_geoid,work_geoid
high,high,other,250173501032,250173531022
low,high,other,250173501032,250173531022
mid,high,other,250173501032,250173531022
high,high,other,250173501032,250173531022
mid,high,trade_trans_util,250173501041,250173521021
mid,high,other,250173501041,250173521021
low,low,other,250173501041,250173521021
low,high,other,250173501041,250173521021
low,high,trade_trans_util,250173501041,250173521021
low,mid,trade_trans_util,250173501041,250173521021
low,low,other,250173501041,250173521021
high,high,other,250173501041,250173521021
high,mid,other,250173501041,250173521021
low,high,other,250173501041,250173521021
low,high,other,250173501041,250173521021
low,high,trade_trans_util,250173501041,250173521021
high,high,other,250173501041,250173521021
mid,high,other,250173501041,250173521021
mid,high,trade_trans_util,250173501041,250173521021
mid,high,other,250173501041,250173521021
low,high,trade_trans_util,250173501041,250173521021
mid,high,trade_trans_util,250173501041,250173521021
low,low,trade_trans_util,250173501041,250173521021
mid,mid,other,250173501041,250173523001
low,mid,other,250173501041,250173523002
mid,high,other,250173501041,250173523002
mid,high,other,250173501041,250173523002
mid,mid,other,250173501041,250173523002
low,mid,other,250173501041,250173523002
mid,mid,other,250173501041,250173523002
mid,high,other,250173501041,250173523002
mid,high,other,250173501041,250173523002
low,high,other,250173501041,250173524002
high,high,other,250173501041,250173524002
low,high,other,250173501041,250173524002
mid,high,other,250173501041,250173524002
mid,high,other,250173501041,250173524002
mid,high,other,250173501041,250173524002
mid,high,goods_prod,250173501041,250173524002
mid,high,other,250173501041,250173524002
mid,high,other,250173501041,250173524002
high,mid,goods_prod,250173501041,250173524002
low,high,goods_prod,250173501041,250173524002
mid,high,other,250173501041,250173524002
low,high,other,250173501041,250173524002
mid,high,other,250173501041,250173524002
mid,high,other,250173501041,250173524002
mid,high,other,250173501041,250173524002
low,high,other,250173501041,250173524002
mid,high,other,250173501041,250173524002
mid,high,other,250173501041,250173524002
low,high,other,250173501041,250173531022
mid,mid,other,250173501041,250173531022
mid,high,other,250173501041,250173531022
low,high,other,250173501041,250173531022
low,mid,other,250173501041,250173531022
mid,mid,other,250173501041,250173531022
mid,high,other,250173501041,250173531022
mid,high,other,250173501041,250173531022
mid,high,other,250173501041,250173531022
mid,high,other,250173501041,250173531022
mid,mid,other,250173501041,250173531022
mid,high,other,250173501042,250173521021
high,high,other,250173501042,250173521021
low,mid,other,250173501042,250173521021
low,high,trade_trans_util,250173501042,250173521021
low,high,other,250173501042,250173521021
low,high,other,250173501042,250173521021
low,high,trade_trans_util,250173501042,250173521021
low,high,other,250173501042,250173521021
mid,high,trade_trans_util,250173501042,250173521021
high,mid,other,250173501042,250173521021
low,high,other,250173501042,250173521021
low,mid,other,250173501042,250173521021
low,low,other,250173501042,250173521021
low,high,other,250173501042,250173521021
low,high,other,250173501042,250173523001
mid,high,other,250173501042,250173523002
low,mid,other,250173501042,250173523002
low,high,other,250173501042,250173523002
mid,high,other,250173501042,250173523002
mid,high,other,250173501042,250173523002
mid,mid,goods_prod,250173501042,250173523002
mid,high,other,250173501042,250173523002
mid,high,other,250173501042,250173523002
mid,high,other,250173501042,250173523002
mid,high,goods_prod,250173501042,250173523002
low,mid,other,250173501042,250173524001
low,mid,other,250173501042,250173524001
low,mid,other,250173501042,250173524002
mid,low,other,250173501042,250173524002
high,high,other,250173501042,250173524002
mid,high,goods_prod,250173501042,250173524002
mid,high,other,250173501042,250173524002
low,high,other,250173501042,250173524002
mid,high,other,250173501042,250173524002
mid,high,other,250173501042,250173524002
low,high,other,250173501042,250173524002
low,low,other,250173501042,250173524002
mid,mid,other,250173501042,250173524002
high,high,goods_prod,250173501042,250173524002
low,high,other,250173501042,250173524002
low,high,other,250173501042,250173524002
mid,high,other,250173501042,250173524002
mid,high,goods_prod,250173501042,250173524002
mid,high,goods_prod,250173501042,250173524002
mid,high,goods_prod,250173501042,250173524002
mid,high,other,250173501042,250173524002
high,mid,other,250173501042,250173524002
high,high,other,250173501042,250173524002
mid,high,other,250173501042,250173531022
low,low,other,250173501042,250173531022
low,low,other,250173501042,250173531022
low,low,other,250173501042,250173531022
low,low,other,250173501042,250173531022
low,high,other,250173501042,250173531022
low,high,other,250173501042,250173531022
mid,high,trade_trans_util,250173501043,250173521021
low,mid,trade_trans_util,250173501043,250173521021
high,mid,other,250173501043,250173521021
high,mid,trade_trans_util,250173501043,250173521021
high,mid,other,250173501043,250173521021
low,mid,other,250173501043,250173521021
mid,high,other,250173501043,250173523001
mid,high,other,250173501043,250173523001
mid,high,other,250173501043,250173523002
mid,high,other,250173501043,250173523002
mid,high,other,250173501043,250173523002
mid,high,other,250173501043,250173523002
mid,high,other,250173501043,250173524001
mid,high,other,250173501043,250173524002
low,high,other,250173501043,250173524002
mid,high,other,250173501043,250173524002
low,high,other,250173501043,250173524002
low,high,other,250173501043,250173524002
low,high,other,250173501043,250173524002
mid,mid,other,250173501043,250173531022
mid,mid,other,250173501043,250173531022
high,high,other,250173501043,250173531022
mid,high,other,250173501043,250173531022
low,high,trade_trans_util,250173501044,250173521021
low,high,trade_trans_util,250173501044,250173521021
mid,high,trade_trans_util,250173501044,250173521021
mid,high,other,250173501044,250173523001
mid,mid,other,250173501044,250173523002
low,high,other,250173501044,250173523002
mid,high,other,250173501044,250173523002
low,high,other,250173501044,250173523002
mid,high,other,250173501044,250173524001
low,high,other,250173501044,250173524001
mid,high,other,250173501044,250173524002
mid,high,other,250173501044,250173524002
low,mid,other,250173501044,250173524002
mid,high,other,250173501044,250173524002
mid,high,other,250173501044,250173524002
mid,high,other,250173501044,250173524002
mid,high,other,250173501044,250173524002
low,high,other,250173501044,250173524002
mid,high,other,250173501044,250173524002
mid,high,other,250173501044,250173524002
mid,mid,other,250173501044,250173524002
low,high,other,250173501044,250173524002
low,high,other,250173501044,250173524002
mid,high,other,250173501044,250173524002
mid,high,other,250173501044,250173524002
mid,high,other,250173501044,250173524002
low,high,other,250173501044,250173524002
mid,mid,other,250173501044,250173524002
mid,high,other,250173501044,250173524002
mid,high,other,250173501044,250173531022
mid,high,other,250173501044,250173531022
mid,high,other,250173501044,250173531022
mid,high,other,250173501044,250173531022
high,high,other,250173501044,250173531022
mid,high,other,250173501044,250173531022
mid,high,other,250173502001,250173521021
mid,high,other,250173502001,250173521021
high,mid,other,250173502001,250173521021
mid,high,other,250173502001,250173521021
low,mid,other,250173502001,250173521021
mid,high,other,250173502001,250173521021
mid,high,goods_prod,250173502001,250173523001
mid,high,goods_prod,250173502001,250173523001
mid,mid,other,250173502001,250173523002
mid,high,other,250173502001,250173523002
mid,low,other,250173502001,250173523002
mid,high,other,250173502001,250173523002
mid,high,goods_prod,250173502001,250173523002
mid,high,goods_prod,250173502001,250173523002
mid,high,other,250173502001,250173523002
mid,high,other,250173502001,250173524001
mid,high,other,250173502001,250173524001
mid,high,other,250173502001,250173524001
low,high,other,250173502001,250173524002
mid,high,other,250173502001,250173524002
mid,high,other,250173502001,250173524002
low,high,other,250173502001,250173524002
mid,mid,other,250173502001,250173524002
mid,high,trade_trans_util,250173502001,250173524002
mid,high,other,250173502001,250173524002
low,high,other,250173502001,250173524002
mid,high,other,250173502001,250173524002
low,high,other,250173502001,250173524002
mid,high,other,250173502001,250173524002
mid,mid,other,250173502001,250173524002
low,high,other,250173502001,250173524002
low,high,other,250173502001,250173524002
mid,high,other,250173502001,250173524002
low,high,other,250173502001,250173524002
mid,high,other,250173502001,250173524002
mid,mid,other,250173502001,250173524002
mid,high,other,250173502001,250173531022
mid,high,other,250173502001,250173531022
mid,high,other,250173502001,250173531022
mid,low,other,250173502001,250173531022
mid,high,other,250173502001,250173531022
mid,high,other,250173502001,250173531022
high,high,other,250173502001,250173531022
mid,high,other,250173502001,250173531022
mid,low,other,250173502001,250173531022
low,high,trade_trans_util,250173502002,250173521021
low,mid,other,250173502002,250173521021
low,mid,other,250173502002,250173521021
low,high,other,250173502002,250173521021
mid,mid,other,250173502002,250173523001
mid,high,other,250173502002,250173523002
low,high,other,250173502002,250173523002
mid,high,other,250173502002,250173523002
low,high,other,250173502002,250173523002
mid,high,other,250173502002,250173523002
low,high,other,250173502002,250173524002
mid,high,other,250173502002,250173524002
mid,high,other,250173502002,250173524002
mid,high,other,250173502002,250173524002
mid,high,other,250173502002,250173524002
mid,mid,other,250173502002,250173531022
mid,mid,other,250173502002,250173531022
low,low,other,250173502002,250173531022
mid,high,other,250173502003,250173521021
mid,high,other,250173502003,250173521021
mid,high,other,250173502003,250173521021
mid,high,other,250173502003,250173521021
mid,high,other,250173502003,250173521021
mid,mid,other,250173502003,250173521021
mid,high,other,250173502003,250173521021
mid,high,other,250173502003,250173521021
high,mid,trade_trans_util,250173502003,250173521021
low,high,other,250173502003,250173523001
mid,high,other,250173502003,250173523002
mid,high,other,250173502003,250173523002
mid,high,other,250173502003,250173523002
low,high,other,250173502003,250173523002
low,high,other,250173502003,250173523002
low,high,other,250173502003,250173523002
low,mid,other,250173502003,250173524001
mid,mid,other,250173502003,250173524001
low,high,other,250173502003,250173524001
mid,high,other,250173502003,250173524001
mid,high,other,250173502003,250173524002
mid,high,other,250173502003,250173524002
mid,high,other,250173502003,250173524002
mid,high,other,250173502003,250173524002
mid,high,other,250173502003,250173524002
mid,high,other,250173502003,250173524002
high,high,other,250173502003,250173524002
mid,high,other,250173502003,250173524002
low,high,other,250173502003,250173524002
mid,high,other,250173502003,250173524002
low,high,other,250173502003,250173524002
mid,high,other,250173502003,250173524002
mid,high,other,250173502003,250173524002
low,high,other,250173502003,250173524002
mid,high,other,250173502003,250173524002
mid,high,other,250173502003,250173524002
high,high,other,250173502003,250173531022
low,high,other,250173502003,250173531022
mid,high,other,250173502003,250173531022
low,high,other,250173502003,250173531022
high,high,other,250173502003,250173531022
high,high,other,250173502003,250173531022
high,high,other,250173502003,250173531022
mid,high,other,250173502003,250173531022
low,high,other,250173502003,250173531022
mid,high,other,250173502003,250173531022
mid,high,other,250173502003,250173531022
mid,high,other,250173502003,250173531022
mid,high,other,250173502003,250173531022
low,high,other,250173502003,250173531022
mid,high,other,250173502003,250173531022
low,high,other,250173502004,250173521021
low,high,other,250173502004,250173521021
mid,high,other,250173502004,250173521021
high,high,other,250173502004,250173521021
mid,high,other,250173502004,250173521021
low,high,other,250173502004,250173521021
low,high,other,250173502004,250173521021
low,high,other,250173502004,250173521021
mid,high,other,250173502004,250173521021
mid,high,other,250173502004,250173521021
mid,mid,other,250173502004,250173521021
mid,high,other,250173502004,250173523001
mid,high,other,250173502004,250173523001
low,high,other,250173502004,250173523002
mid,high,other,250173502004,250173523002
low,high,other,250173502004,250173523002
mid,high,goods_prod,250173502004,250173523002
mid,high,other,250173502004,250173523002
mid,high,other,250173502004,250173523002
mid,high,other,250173502004,250173523002
mid,high,other,250173502004,250173524001
mid,low,other,250173502004,250173524001
mid,high,other,250173502004,250173524001
mid,high,other,250173502004,250173524002
mid,mid,trade_trans_util,250173502004,250173524002
mid,high,other,250173502004,250173524002
mid,high,other,250173502004,250173524002
low,high,other,250173502004,250173524002
low,high,trade_trans_util,250173502004,250173524002
mid,high,other,250173502004,250173524002
mid,high,other,250173502004,250173524002
mid,high,trade_trans_util,250173502004,250173524002
mid,high,other,250173502004,250173524002
mid,high,other,250173502004,250173524002
mid,high,goods_prod,250173502004,250173524002
mid,high,other,250173502004,250173524002
mid,high,other,250173502004,250173524002
mid,high,other,250173502004,250173524002
mid,high,goods_prod,250173502004,250173524002
mid,high,other,250173502004,250173531022
mid,high,other,250173502004,250173531022
low,high,other,250173502004,250173531022
mid,high,other,250173502004,250173531022
low,low,other,250173502004,250173531022
low,high,other,250173502004,250173531022
low,high,other,250173502004,250173531022
low,high,other,250173502005,250173521021
high,high,other,250173502005,250173521021
low,high,trade_trans_util,250173502005,250173521021
mid,mid,other,250173502005,250173523002
mid,mid,other,250173502005,250173523002
mid,mid,other,250173502005,250173523002
mid,high,other,250173502005,250173523002
high,mid,other,250173502005,250173524001
mid,high,other,250173502005,250173524002
mid,high,other,250173502005,250173524002
low,mid,other,250173502005,250173524002
mid,high,other,250173502005,250173524002
mid,high,other,250173502005,250173524002
mid,high,other,250173502005,250173524002
mid,low,other,250173502005,250173524002
low,high,other,250173502005,250173524002
mid,high,other,250173502005,250173524002
high,high,other,250173502005,250173524002
mid,high,other,250173502005,250173531022
mid,high,other,250173502005,250173531022
mid,high,other,250173502005,250173531022
mid,high,other,250173502006,250173521021
mid,high,other,250173502006,250173521021
mid,high,trade_trans_util,250173502006,250173521021
mid,high,other,250173502006,250173521021
mid,high,other,250173502006,250173521021
mid,mid,other,250173502006,250173523001
mid,high,trade_trans_util,250173502006,250173523001
mid,high,other,250173502006,250173523001
mid,high,other,250173502006,250173523002
low,high,other,250173502006,250173523002
mid,high,other,250173502006,250173523002
low,high,other,250173502006,250173523002
mid,high,other,250173502006,250173524001
low,high,other,250173502006,250173524002
mid,high,other,250173502006,250173524002
mid,high,other,250173502006,250173524002
mid,high,other,250173502006,250173524002
mid,high,other,250173502006,250173524002
mid,high,other,250173502006,250173524002
mid,high,other,250173502006,250173524002
mid,high,other,250173502006,250173524002
mid,high,other,250173502006,250173524002
mid,high,other,250173502006,250173524002
low,high,other,250173502006,250173524002
high,high,other,250173502006,250173524002
low,high,other,250173502006,250173524002
mid,mid,other,250173502006,250173531022
low,high,other,250173502006,250173531022
low,mid,other,250173502006,250173531022
mid,high,other,250173502006,250173531022
low,high,other,250173503001,250173521021
low,mid,trade_trans_util,250173503001,250173521021
mid,high,other,250173503001,250173521021
low,high,other,250173503001,250173521021
low,high,other,250173503001,250173521021
low,high,other,250173503001,250173521021
high,high,other,250173503001,250173521021
low,high,other,250173503001,250173521021
low,mid,other,250173503001,250173521021
low,mid,other,250173503001,250173521021
low,high,other,250173503001,250173521021
mid,mid,trade_trans_util,250173503001,250173521021
mid,high,other,250173503001,250173523002
mid,high,other,250173503001,250173523002
low,high,other,250173503001,250173523002
low,high,other,250173503001,250173523002
mid,high,other,250173503001,250173523002
mid,high,other,250173503001,250173524002
low,high,other,250173503001,250173524002
mid,high,other,250173503001,250173524002
mid,high,other,250173503001,250173524002
mid,high,other,250173503001,250173524002
low,low,other,250173503001,250173524002
mid,high,other,250173503001,250173524002
low,high,other,250173503001,250173524002
low,high,other,250173503001,250173524002
mid,low,other,250173503001,250173524002
mid,high,other,250173503001,250173524002
high,high,other,250173503001,250173524002
low,high,other,250173503001,250173524002
